case_title,relevant_cases,num_cases_found,timestamp
Case number 10128,1828:vector_similarity;6806:vector_similarity;16434:vector_similarity;2729:vector_similarity;15783:vector_similarity;6459:vector_similarity;7785:vector_similarity,7,2026-02-16T09:55:52.704802
Case number 10146,8890:vector_similarity;7781:vector_similarity;18540:vector_similarity;885:vector_similarity;1066:vector_similarity;14975:vector_similarity;15711:vector_similarity,7,2026-02-16T09:55:53.376581
Case number 10186,15022:vector_similarity;17874:vector_similarity;8152:vector_similarity;18024:vector_similarity;12978:vector_similarity;17482:vector_similarity;1901:vector_similarity,7,2026-02-16T09:55:54.093258
Case number 10653,10870:vector_similarity;18083:vector_similarity;7243:vector_similarity;17388:vector_similarity;9884:vector_similarity;2798:vector_similarity;13305:vector_similarity,7,2026-02-16T09:55:54.741762
Case number 10790,10587:vector_similarity;11253:vector_similarity;11557:vector_similarity;11221:vector_similarity;16818:vector_similarity;6230:vector_similarity;1401:vector_similarity,7,2026-02-16T09:55:56.033790
Case number 10827,8462:vector_similarity;12960:vector_similarity;11294:vector_similarity;4139:vector_similarity;2993:vector_similarity;1875:vector_similarity;2059:vector_similarity,7,2026-02-16T09:55:56.696948
Case number 13960,11296:vector_similarity;10022:vector_similarity;12899:vector_similarity;5460:vector_similarity;17125:vector_similarity;16072:vector_similarity;10781:vector_similarity,7,2026-02-16T09:55:57.302737
Case number 11532,17989:vector_similarity;16620:vector_similarity;18464:vector_similarity;9608:vector_similarity;6823:vector_similarity;11425:vector_similarity;18427:vector_similarity,7,2026-02-16T09:55:57.909992
Case number 11692,11700:vector_similarity;17528:vector_similarity;16809:vector_similarity;17121:vector_similarity;11923:vector_similarity;18065:vector_similarity;17580:vector_similarity,7,2026-02-16T09:55:58.540609
Case number 11845,6966:vector_similarity;16402:vector_similarity;9848:vector_similarity;8404:vector_similarity;15518:vector_similarity;8133:vector_similarity;6576:vector_similarity,7,2026-02-16T09:55:59.695951
Case number 12166,10189:vector_similarity;1923:vector_similarity;7491:vector_similarity;16038:vector_similarity;7504:vector_similarity;1775:vector_similarity;8194:vector_similarity,7,2026-02-16T09:56:00.361202
Case number 12185,13341:vector_similarity;9384:vector_similarity;15887:vector_similarity;3470:vector_similarity;2497:vector_similarity;3376:vector_similarity;18295:vector_similarity,7,2026-02-16T09:56:01.101624
Case number 12691,1647:vector_similarity;16476:vector_similarity;10523:vector_similarity;3411:vector_similarity;11566:vector_similarity;1523:vector_similarity;18555:vector_similarity,7,2026-02-16T09:56:02.021492
Case number 12773,11221:vector_similarity;11683:vector_similarity;2057:vector_similarity;7230:vector_similarity;16818:vector_similarity;15070:vector_similarity;10338:vector_similarity,7,2026-02-16T09:56:02.626663
Case number 12781,14216:vector_similarity;2226:vector_similarity;1196:vector_similarity;17093:vector_similarity;1765:vector_similarity;14890:vector_similarity;3476:vector_similarity,7,2026-02-16T09:56:03.357029
Case number 12956,9553:vector_similarity;16700:vector_similarity;1882:vector_similarity;948:vector_similarity;13977:vector_similarity;17378:vector_similarity;16735:vector_similarity,7,2026-02-16T09:56:03.978601
Case number 13122,15389:vector_similarity;5520:vector_similarity;1296:vector_similarity;11873:vector_similarity;3646:vector_similarity;10362:vector_similarity;1341:vector_similarity,7,2026-02-16T09:56:05.406986
Case number 13497,5115:vector_similarity;13386:vector_similarity;15382:vector_similarity;14120:vector_similarity;5991:vector_similarity;9496:vector_similarity;4108:vector_similarity,7,2026-02-16T09:56:06.556507
Case number 10142,12226:vector_similarity;12304:vector_similarity;4950:vector_similarity;9710:vector_similarity;1926:vector_similarity;9995:vector_similarity;4508:vector_similarity,7,2026-02-16T09:56:07.243452
